"time_mandante","time_visitante","gols_mandante","gols_visitante","data","fase","jogo","ano"
"São Caetano","Fluminense",0,3,2002-11-24,"Quartas de final","Ida",2002
"Fluminense","São Caetano",0,2,2002-11-27,"Quartas de final","Volta",2002
"Corinthians","Atlético-MG",6,2,2002-11-24,"Quartas de final","Ida",2002
"Atlético-MG","Corinthians",2,1,2002-11-27,"Quartas de final","Volta",2002
"Juventude","Grêmio",0,0,2002-11-24,"Quartas de final","Ida",2002
"Grêmio","Juventude",1,0,2002-11-27,"Quartas de final","Volta",2002
"São Paulo","Santos",1,3,2002-11-24,"Quartas de final","Ida",2002
"Santos","São Paulo",1,2,2002-11-28,"Quartas de final","Volta",2002
"Corinthians","Fluminense",0,1,2002-12-01,"Semifinal","Ida",2002
"Fluminense","Corinthians",2,3,2002-12-04,"Semifinal","Volta",2002
"Santos","Grêmio",3,0,2002-12-01,"Semifinal","Ida",2002
"Grêmio","Santos",1,0,2002-12-04,"Semifinal","Volta",2002
"Santos","Corinthians",2,0,2002-12-08,"Final","Ida",2002
"Corinthians","Santos",2,3,2002-12-15,"Final","Volta",2002
