time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,data,pontos_mandante,pontos_visitante,match_id,detalhes
Vasco da Gama,2,0,Figueirense,1,Aug 10,3,0,1," [Ramón Menezes 24', 26']"
São Paulo,4,2,Paysandu,1,Aug 10,3,0,2," [Jean Narde 15', Jorginho Paulista 30', Luís Fabiano 60', 88'; Jóbson 27'p, 67']"
Paraná,2,1,São Caetano,1,Aug 10,3,0,3," [Maurílio 45+1', 56'; Serginho 65']"
Santos,2,1,Botafogo,1,Aug 10,3,0,4," [Elano 4', Diego Ribas 43'; Ademílson 85']"
Goiás,3,1,Portuguesa,1,Aug 10,3,0,5," [Danilo 17', Araújo 66', Finazzi 79'; Ricardo Oliveira 16']"
Fluminense,5,1,Cruzeiro,1,Aug 11,3,0,6," [Magno Alves 29', Fernando Diniz 32', Romário 43'p, 90+2', Beto 47'; Fábio Júnior 88']"
Palmeiras,1,1,Grêmio,1,Aug 11,1,1,7, [Nenê 79'; Anderson Lima 84']
Atlético-MG,1,2,Corinthians,1,Aug 11,0,3,8," [Renaldo 32'; Scheidt 23', Renato 54']"
Internacional,1,3,Flamengo,1,Aug 11,0,3,9," [Fabiano Costa 16'; Liédson 11', 29', Felipe Mello 8']"
Guarani,2,1,Atlético-PR,1,Aug 11,3,0,10," [Luís Fernando Martinez 63', 65'; Kléber 8']"
Coritiba,1,0,Vitória,1,Aug 11,3,0,11, [Tcheco 48']
Bahia,1,0,Gama,1,Aug 11,3,0,12, [Robgol 64']
Juventude,1,0,Ponte Preta,1,Aug 11,3,0,13, [Marcelo Pereira 36'p]
São Caetano,2,0,Fluminense,2,Aug 14,3,0,14," [Adhemar 16', Claudecir 22']"
Botafogo,1,1,Atlético-MG,2,Aug 14,1,1,15, [Galeano 82'; Alexandre 63'] 
Cruzeiro,1,1,Palmeiras,2,Aug 14,1,1,16, [Fábio Júnior 26'p; Itamar 87']
Grêmio,3,2,Vasco da Gama,2,Aug 14,3,0,17," [Anderson Lima 1', 18'p, Rodrigo Fabri 81'; Ramón Menezes 68'p, 71']"
Atlético-PR,4,0,Bahia,2,Aug 14,3,0,18," [Fabiano 45+1', 80', Dagoberto 55', Rodriguinho 90+3']"
Figueirense,0,0,Guarani,2,Aug 14,1,1,19,NA
Ponte Preta,2,0,Coritiba,2,Aug 14,3,0,20," [Elivélton 43', Alex Oliveira 72']"
Vitória,4,1,Goiás,2,Aug 14,3,0,21," [André 20', 75', 78', Marcelo Heleno 22'; Neném 48']"
Corinthians,3,2,Internacional,2,Aug 14,3,0,22," [Deivid 27', Guilherme 43', 87'; Fabiano Costa 21', 69']"
Flamengo,0,0,Juventude,2,Aug 14,1,1,23,NA
Portuguesa,1,0,Paraná,2,Aug 14,3,0,24, [Ricardo Oliveira 3']
Gama,0,1,São Paulo,2,Aug 14,0,3,25, [Júlio Santos 81']
Fluminense,3,1,Grêmio,3,Aug 17,3,0,26," [Magno Alves 10', Romário 62', 82'; Luiz Mário 77']"
Internacional,1,0,Ponte Preta,3,Aug 17,3,0,27, [Leandrão 56']
Atlético-PR,2,1,Vasco da Gama,3,Aug 17,3,0,28," [Kléber 45', 51'; Siston 48']"
Juventude,2,1,Santos,3,Aug 18,3,0,29," [Cláudio Pitbull 61', Leonardo Manzi 71'; William 83']"
Guarani,1,4,Atlético-MG,3,Aug 18,0,3,30," [Marquinhos 5'; Paulinho 26', Marques 35'p, 53'p, Hélcio 65']"
Flamengo,1,1,Goiás,3,Aug 18,1,1,31, [Athirson 60'p; Neném 61']
Paraná,2,3,São Paulo,3,Aug 18,0,3,32," [Maurílio 72'p, Emerson 88'; Kaká 17', Júlio Baptista 32', Reinaldo Oliveira 53']"
Cruzeiro,0,0,Botafogo,3,Aug 18,1,1,33,NA
Portuguesa,0,0,Figueirense,3,Aug 18,1,1,34,NA
Bahia,1,2,Coritiba,3,Aug 18,0,3,35," [Robgol 74'; Lima 44', Alexandre Fávaro 86']"
Gama,2,1,Vitória,3,Aug 18,3,0,36," [Dimba 57', 58'; Aristizábal 31']"
São Caetano,3,0,Corinthians,3,Aug 18,3,0,37," [Claudecir 12', 18', Edu Sales 77']"
Botafogo,2,2,Internacional,4,Aug 21,1,1,38," [Carlos Miguel 27', Cleiton 38'; Adenílson 82', 90+2']"
São Paulo,0,1,Juventude,4,Aug 21,0,3,39, [Hélder 2']
Atlético-MG,1,1,Fluminense,4,Aug 21,1,1,40, [Alexandre Lindo 24'; Magno Alves 51']
Paysandu,1,2,Portuguesa,4,Aug 21,0,3,41," [Jóbson 9'; Alex Alves 21, Édson Araújo 76']"
Coritiba,2,1,Flamengo,4,Aug 21,3,0,42," [Lima 56', Lúcio Flávio 81'; Andrezinho 55']"
Vitória,1,1,Atlético-PR,4,Aug 21,1,1,43, [Fernando 44'; Kléber 45+1']
Goiás,1,1,Bahia,4,Aug 21,1,1,44, [Kley 70'; Nonato 25']
Santos,3,0,Figueirense,4,Aug 21,3,0,45," [Léo 42', Renato 48', Douglas 87']"
Vasco da Gama,0,1,Gama,4,Aug 22,0,3,46, [Dimba 40']
Palmeiras,3,2,São Caetano,4,Aug 22,3,0,47," [Javier Arce 11', 80', Dodô 68'; Adhemar 66', Marco Aurélio 90+1']"
Grêmio,0,2,Guarani,4,Aug 22,0,3,48," [Brener 30', Sérgio Alves 60']"
Ponte Preta,2,0,Cruzeiro,4,Aug 22,3,0,49," [Alex Oliveira 35', Rodrigo Costa 43']"
Flamengo,1,2,Paysandu,5,Aug 24,0,3,50," [Zé Carlos 59'; Jóbson 61'p, Balão 76']"
Internacional,2,2,São Paulo,5,Aug 24,1,1,51," [Fabiano Costa 46', Cleiton Xavier 45+4'; Reinaldo Oliveira 32', 63']"
Figueirense,0,3,Botafogo,5,Aug 24,0,3,52," [Carlos Alberto 22', Ademílson 47', Galeano 67']"
Palmeiras,0,4,Atlético-MG,5,Aug 25,0,3,53," [Mancini 20', 44', Leonardo Oliveira 70', Souza 84']"
Fluminense,1,1,Santos,5,Aug 25,1,1,54, [Roni 90+2'; Diego Ribas 56']
Coritiba,1,2,Corinthians,5,Aug 25,0,3,55," [Genílson 12'; Deivid 67', Leandro Azevedo 81']"
Portuguesa,1,0,Gama,5,Aug 25,3,0,56, [Ricardo Oliveira 46']
Cruzeiro,2,1,Bahia,5,Aug 25,3,0,57," [Cris 2', 44'; Valdomiro 25']"
Vitória,2,1,Juventude,5,Aug 25,3,0,58," [Aristizábal 10', 85'; Edmílson 32']"
