id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
1,Vasco da Gama,2,0,Figueirense,1,2002,Aug 10,3,0," [Ramón Menezes 24', 26']"
2,São Paulo,4,2,Paysandu,1,2002,Aug 10,3,0," [Jean Narde 15', Jorginho Paulista 30', Luís Fabiano 60', 88'; Jóbson 27'p, 67']"
3,Paraná,2,1,São Caetano,1,2002,Aug 10,3,0," [Maurílio 45+1', 56'; Serginho 65']"
4,Santos,2,1,Botafogo,1,2002,Aug 10,3,0," [Elano 4', Diego Ribas 43'; Ademílson 85']"
5,Goiás,3,1,Portuguesa,1,2002,Aug 10,3,0," [Danilo 17', Araújo 66', Finazzi 79'; Ricardo Oliveira 16']"
6,Fluminense,5,1,Cruzeiro,1,2002,Aug 11,3,0," [Magno Alves 29', Fernando Diniz 32', Romário 43'p, 90+2', Beto 47'; Fábio Júnior 88']"
7,Palmeiras,1,1,Grêmio,1,2002,Aug 11,1,1, [Nenê 79'; Anderson Lima 84']
8,Atlético-MG,1,2,Corinthians,1,2002,Aug 11,0,3," [Renaldo 32'; Scheidt 23', Renato 54']"
9,Internacional,1,3,Flamengo,1,2002,Aug 11,0,3," [Fabiano Costa 16'; Liédson 11', 29', Felipe Mello 8']"
10,Guarani,2,1,Atlético-PR,1,2002,Aug 11,3,0," [Luís Fernando Martinez 63', 65'; Kléber 8']"
11,Coritiba,1,0,Vitória,1,2002,Aug 11,3,0, [Tcheco 48']
12,Bahia,1,0,Gama,1,2002,Aug 11,3,0, [Robgol 64']
13,Juventude,1,0,Ponte Preta,1,2002,Aug 11,3,0, [Marcelo Pereira 36'p]
14,São Caetano,2,0,Fluminense,2,2002,Aug 14,3,0," [Adhemar 16', Claudecir 22']"
15,Botafogo,1,1,Atlético-MG,2,2002,Aug 14,1,1, [Galeano 82'; Alexandre 63'] 
16,Cruzeiro,1,1,Palmeiras,2,2002,Aug 14,1,1, [Fábio Júnior 26'p; Itamar 87']
