time_mandante,time_visitante,gols_mandante,gols_visitante,data,fase,jogo,temporada,detalhes
São Caetano,Bahia,0,0,2001-12-05,Quartas de final,Jogo único,2001,Prorrogação (aet) 0-0
Atlético-PR,São Paulo,2,1,2001-12-05,Quartas de final,Jogo único,2001,
Fluminense,Ponte Preta,1,1,2001-12-05,Quartas de final,Jogo único,2001,Prorrogação (aet) 2-1; Kléber 28' Alex Mineiro 80'; Adriano Gerlin 67'p
Atlético-MG,Grêmio,3,0,2001-12-05,Quartas de final,Jogo único,2001,Caio Decossau 17' Magno Alves 91' 112'; Humberto 79' Macedo 98'
São Caetano,Atlético-MG,2,1,2001-12-09,Semifinal,Jogo único,2001,
Atlético-PR,Fluminense,3,2,2001-12-09,Semifinal,Jogo único,2001,Magrão 29' 78'; Valdo 18'
São Caetano,Atlético-PR,2,4,2001-12-16,Final,Ida,2001,
Atlético-PR,São Caetano,1,0,2001-12-23,Final,Volta,2001,
São Caetano,Fluminense,0,3,2002-11-24,Quartas de final,Ida,2002,
Fluminense,São Caetano,0,2,2002-11-27,Quartas de final,Volta,2002,
Corinthians,Atlético-MG,6,2,2002-11-24,Quartas de final,Ida,2002,
Atlético-MG,Corinthians,2,1,2002-11-27,Quartas de final,Volta,2002,
Juventude,Grêmio,0,0,2002-11-24,Quartas de final,Ida,2002,
Grêmio,Juventude,1,0,2002-11-27,Quartas de final,Volta,2002,
São Paulo,Santos,1,3,2002-11-24,Quartas de final,Ida,2002,
Santos,São Paulo,1,2,2002-11-28,Quartas de final,Volta,2002,
Corinthians,Fluminense,0,1,2002-12-01,Semifinal,Ida,2002,
Fluminense,Corinthians,2,3,2002-12-04,Semifinal,Volta,2002,
Santos,Grêmio,3,0,2002-12-01,Semifinal,Ida,2002,
Grêmio,Santos,1,0,2002-12-04,Semifinal,Volta,2002,
Santos,Corinthians,2,0,2002-12-08,Final,Ida,2002,
Corinthians,Santos,2,3,2002-12-15,Final,Volta,2002,
