id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
1,Guarani,1,3,Palmeiras,1,2001,2001-08-01,0,3," [Fernando Fumagalli 85'; Javier Arce 14', Tuta 53', Lopes 73']"
2,Botafogo-RJ,1,1,América-MG,1,2001,2001-08-01,1,1, [Rodrigo Almeida 60'; Michael 43']
3,Portuguesa,0,1,Goiás,1,2001,2001-08-01,0,3, [Gauchinho 22']
4,Flamengo,0,0,Ponte Preta,1,2001,2001-08-01,1,1,NA
5,Corinthians,2,0,Vitória,1,2001,2001-08-01,3,0," [Ricardinho 13', Paulo Nunes 57']"
6,Paraná,1,0,Cruzeiro,1,2001,2001-08-01,3,0, [Lúcio Flávio 81']
7,Internacional,0,2,Juventude,1,2001,2001-08-01,0,3," [Edinho 33', Fernando 50']"
8,Sport,1,1,Fluminense,1,2001,2001-08-01,1,1, [Júnior Amorim 27'; Magno Alves 83']
9,Bahia,5,0,São Caetano,1,2001,2001-08-01,3,0," [Nonato 8', 60', Marcos Vinícius 21', 79', Alex Alves 86']"
10,Botafogo-SP,2,2,São Paulo,1,2001,2001-08-01,1,1," [Mateus 22', Marcos Denner 67'; Belletti 38', Júlio Batista 77']"
11,Gama,0,0,Vasco da Gama,1,2001,2001-08-01,1,1,NA
12,Atlético-MG,1,1,Coritiba,1,2001,2001-08-01,1,1, [Ronildo 52'; Edmílson 22']
13,Santos,1,1,Santa Cruz,1,2001,2001-08-02,1,1, [Weldon 75'; Luizinho Vieira 84']
14,Atlético-PR,2,0,Grêmio,1,2001,2001-08-02,3,0," [Kléber 4', Kléberson 58']"
15,Palmeiras,2,1,Bahia,2,2001,2001-08-04,3,0," [Darío Muñoz 22', Lopes 24'; Preto 54']"
16,Fluminense,2,0,Botafogo-SP,2,2001,2001-08-04,3,0," [Jorginho 65', Agnaldo 90+2']"
17,América-MG,0,0,Portuguesa,2,2001,2001-08-04,1,1,NA
18,Juventude,1,4,Atlético-MG,2,2001,2001-08-04,0,3," [Fernando 84'p; Kim 13', Marques 47', 77', Álvaro 71']"
19,Ponte Preta,2,2,Corinthians,2,2001,2001-08-05,1,1," [Rodrigo Costa 12', Marquinhos 53'; Paulo Nunes 17', Gil 43']"
20,Vasco da Gama,7,1,Guarani,2,2001,2001-08-05,3,0," [Juninho Paulista 13', Romário 16'p, 19', 27', 36'p, Jorginho 51', Botti 80';"
21,São Paulo,0,0,Gama,2,2001,2001-08-05,1,1,NA
22,Cruzeiro,1,2,Atlético-PR,2,2001,2001-08-05,0,3," [Edmundo 11'; Nem 8', Alex Mineiro 45+1']"
23,Coritiba,3,2,Internacional,2,2001,2001-08-05,3,0," [Edmílson 30', Evair 38'p, Messias 81'; Luís Cláudio 7', Jackson 36']"
24,Grêmio,2,1,Paraná,2,2001,2001-08-05,3,0," [Luiz Mário 29', Rodrigo Mendes 77'; Lúcio Flávio 21']"
25,Santa Cruz,0,4,Botafogo-RJ,2,2001,2001-08-05,0,3," [Rodrigo Almeida 3', 50', Cláudio 51', 82']"
26,Vitória,1,1,Santos,2,2001,2001-08-05,1,1, [Marcos 56'; Robert 4']
27,São Caetano,2,0,Sport,2,2001,2001-08-05,3,0," [Magrão 41', Wágner 52']"
28,Goiás,2,0,Flamengo,2,2001,2001-08-05,3,0," [Gauchinho 22', Índio 50']"
29,Juventude,0,0,Palmeiras,3,2001,2001-08-08,1,1,NA
30,Coritiba,1,0,Vasco da Gama,3,2001,2001-08-08,3,0, [Diego Rincón 84']
31,Vitória,2,1,São Paulo,3,2001,2001-08-08,3,0," [Allann Delon 25', Dudu 31'; Kaká 90+2']"
32,Corinthians,3,2,Botafogo-SP,3,2001,2001-08-08,3,0," [Paulo Nunes 39', Deivid 67', Ricardinho 87'p; Marcos Denner 43', Anderson 50']"
33,Cruzeiro,0,0,Ponte Preta,3,2001,2001-08-08,1,1,NA
34,Grêmio,0,0,Goiás,3,2001,2001-08-08,1,1,NA
35,Santa Cruz,1,2,Internacional,3,2001,2001-08-08,0,3," [Luizinho Vieira 27'; Carlinhos 72', Luís Cláudio 82']"
36,Flamengo,0,1,Paraná,3,2001,2001-08-08,0,3, [Lúcio Flávio 71']
37,Gama,1,1,Santos,3,2001,2001-08-08,1,1, [Lindomar 54'; Renato 11']
38,São Caetano,0,0,Atlético-PR,3,2001,2001-08-08,1,1,NA
39,Botafogo-RJ,3,2,Bahia,3,2001,2001-08-09,3,0," [Rodrigo Almeida 11', 55', Taílson 68'; Preto 44', Nonato 62']"
40,Guarani,1,1,Fluminense,3,2001,2001-08-09,1,1, [Fernando Fumagalli 65'p; Roger Flores 31']
41,Portuguesa,2,1,Sport,3,2001,2001-08-09,3,0," [Sílvio Criciúma 10', Ricardo Oliveira 69'; Audrovani 18']"
42,América-MG,0,1,Atlético-MG,3,2001,2001-08-09,0,3, [Marques 37']
43,Vasco da Gama,1,1,Juventude,4,2001,2001-08-11,1,1, [Dedé 67'; William 83'og]
44,São Paulo,3,1,Santa Cruz,4,2001,2001-08-11,3,0," [Kaká 5', Júlio Baptista 70', França 84'; Andreoli 77']"
