time_mandante,gols_mandante,time_visitante,gols_visitante,fase,ano,data
Palmeiras,0,Flamengo,1,Final (Única),2025,A definir 
Botafogo,3,Atlético-MG,1,Final (Única),2024,30/11/2024 
Atlético-MG,2,Fluminense,0,Quartas (Volta),2024,25/09/2024 
Fluminense,1,Atlético-MG,0,Quartas (Ida),2024,18/09/2024 
São Paulo,1,Botafogo,1,Quartas (Volta)*,2024,25/09/2024 
Botafogo,0,São Paulo,0,Quartas (Ida),2024,18/09/2024 
Fluminense,2,Grêmio,1,Oitavas (Volta)*,2024,20/08/2024 
Grêmio,2,Fluminense,1,Oitavas (Ida),2024,13/08/2024 
Palmeiras,2,Botafogo,2,Oitavas (Volta),2024,21/08/2024 
Botafogo,2,Palmeiras,1,Oitavas (Ida),2024,14/08/2024 
RB Bragantino,1,Botafogo,1,3ª Fase (Volta),2024,13/03/2024 
Botafogo,2,RB Bragantino,1,3ª Fase (Ida),2024,06/03/2024 
Internacional,1,Fluminense,2,Semifinal (Volta),2023,04/10/2023 
Fluminense,2,Internacional,2,Semifinal (Ida),2023,27/09/2023 
Palmeiras,0,Atlético-MG,0,Oitavas (Volta),2023,09/08/2023 
Atlético-MG,0,Palmeiras,1,Oitavas (Ida),2023,02/08/2023 
Flamengo,1,Athletico-PR,0,Final (Única),2022,29/10/2022 
Palmeiras,2,Athletico-PR,2,Semifinal (Volta),2022,06/09/2022 
Athletico-PR,1,Palmeiras,0,Semifinal (Ida),2022,30/08/2022 
Flamengo,1,Corinthians,0,Quartas (Volta),2022,09/08/2022 
Corinthians,0,Flamengo,2,Quartas (Ida),2022,02/08/2022 
Palmeiras,0,Atlético-MG,0,Quartas (Volta)*,2022,10/08/2022 
Atlético-MG,2,Palmeiras,2,Quartas (Ida),2022,03/08/2022 
Palmeiras,2,Flamengo,1,Final (Única),2021,27/11/2021 
Atlético-MG,1,Palmeiras,1,Semifinal (Volta)**,2021,28/09/2021 
Palmeiras,0,Atlético-MG,0,Semifinal (Ida),2021,21/09/2021 
Palmeiras,3,São Paulo,0,Quartas (Volta),2021,17/08/2021 
