time_mandante,gols_mandante,time_visitante,gols_visitante,fase,data
Palmeiras,0,Flamengo,1,Final (Única),29/11/25
Botafogo,3,Atlético-MG,1,Final (Única),30/11/24
Atlético-MG,2,Fluminense,0,Quartas (Volta),25/09/24
Fluminense,1,Atlético-MG,0,Quartas (Ida),18/09/24
São Paulo,1,Botafogo,1,Quartas (Volta)*,25/09/24
Botafogo,0,São Paulo,0,Quartas (Ida),18/09/24
Fluminense,2,Grêmio,1,Oitavas (Volta)*,20/08/24
Grêmio,2,Fluminense,1,Oitavas (Ida),13/08/24
Palmeiras,2,Botafogo,2,Oitavas (Volta),21/08/24
Botafogo,2,Palmeiras,1,Oitavas (Ida),14/08/24
RB Bragantino,1,Botafogo,1,3ª Fase (Volta),13/03/24
Botafogo,2,RB Bragantino,1,3ª Fase (Ida),06/03/24
Internacional,1,Fluminense,2,Semifinal (Volta),04/10/23
Fluminense,2,Internacional,2,Semifinal (Ida),27/09/23
Palmeiras,0,Atlético-MG,0,Oitavas (Volta),09/08/23
Atlético-MG,0,Palmeiras,1,Oitavas (Ida),02/08/23
Flamengo,1,Athletico-PR,0,Final (Única),29/10/22
Palmeiras,2,Athletico-PR,2,Semifinal (Volta),06/09/22
Athletico-PR,1,Palmeiras,0,Semifinal (Ida),30/08/22
Flamengo,1,Corinthians,0,Quartas (Volta),09/08/22
Corinthians,0,Flamengo,2,Quartas (Ida),02/08/22
Palmeiras,0,Atlético-MG,0,Quartas (Volta)*,10/08/22
Atlético-MG,2,Palmeiras,2,Quartas (Ida),03/08/22
Palmeiras,2,Flamengo,1,Final (Única),27/11/21
Atlético-MG,1,Palmeiras,1,Semifinal (Volta)**,28/09/21
Palmeiras,0,Atlético-MG,0,Semifinal (Ida),21/09/21
Palmeiras,3,São Paulo,0,Quartas (Volta),17/08/21
São Paulo,1,Palmeiras,1,Quartas (Ida),10/08/21
Palmeiras,1,Santos,0,Final (Única),30/01/21
Santos,4,Grêmio,1,Quartas (Volta),16/12/20
Grêmio,1,Santos,1,Quartas (Ida),09/12/20
Internacional,0,Grêmio,1,Fase de Grupos,23/09/20
Grêmio,0,Internacional,0,Fase de Grupos,12/03/20
Flamengo,5,Grêmio,0,Semifinal (Volta),23/10/19
Grêmio,1,Flamengo,1,Semifinal (Ida),02/10/19
Cruzeiro,0,Flamengo,1,Oitavas (Volta),29/08/18
Flamengo,0,Cruzeiro,2,Oitavas (Ida),08/08/18
Santos,1,Athletico-PR,0,Oitavas (Volta),10/08/17
Athletico-PR,2,Santos,3,Oitavas (Ida),05/07/17
Cruzeiro,1,São Paulo,0,Oitavas (Volta)*,13/05/15
São Paulo,1,Cruzeiro,0,Oitavas (Ida),06/05/15
Internacional,3,Atlético-MG,1,Oitavas (Volta),13/05/15
Atlético-MG,2,Internacional,2,Oitavas (Ida),06/05/15
Atlético-MG,4,São Paulo,1,Oitavas (Volta),08/05/13
São Paulo,1,Atlético-MG,2,Oitavas (Ida),02/05/13
São Paulo,2,Atlético-MG,0,Fase de Grupos,17/04/13
Atlético-MG,2,São Paulo,1,Fase de Grupos,13/02/13
Corinthians,1,Vasco,0,Quartas (Volta),23/05/12
Vasco,0,Corinthians,0,Quartas (Ida),16/05/12
Fluminense,2,Internacional,1,Oitavas (Volta),10/05/12
Internacional,0,Fluminense,0,Oitavas (Ida),25/04/12
São Paulo,2,Internacional,1,Semifinal (Volta)**,05/08/10
Internacional,1,São Paulo,0,Semifinal (Ida),28/07/10
São Paulo,0,Cruzeiro,2,Quartas (Volta),19/05/10
Cruzeiro,0,São Paulo,2,Quartas (Ida),12/05/10
Corinthians,2,Flamengo,1,Oitavas (Volta)**,05/05/10
Flamengo,1,Corinthians,0,Oitavas (Ida),28/04/10
São Paulo,0,Cruzeiro,2,Quartas (Volta),18/06/09
Cruzeiro,2,São Paulo,1,Quartas (Ida),27/05/09
Sport,1,Palmeiras,0,Oitavas (Volta)*,12/05/09
Palmeiras,1,Sport,0,Oitavas (Ida),05/05/09
Fluminense,3,São Paulo,1,Quartas (Volta),21/05/08
São Paulo,1,Fluminense,0,Quartas (Ida),14/05/08
Internacional,2,São Paulo,2,Final (Volta),16/08/06
São Paulo,1,Internacional,2,Final (Ida),09/08/06
São Paulo,2,Palmeiras,1,Oitavas (Volta),03/05/06
