Ano,Vencedor,Perdedor,Fase,Campeonato
1951,Palmeiras,Corinthians,Final,Rio-São Paulo
1951,Palmeiras,Vasco,Semifinal,Copa Rio
1959,Santos,Grêmio,Semifinal,Campeonato Brasileiro
1959,Grêmio,Atlético,Quartas de final,Campeonato Brasileiro
1960,Fluminense,Cruzeiro,Oitavas de final,Campeonato Brasileiro
1960,Fluminense,Grêmio,Quartas de final,Campeonato Brasileiro
1960,Palmeiras,Fluminense,Semifinal,Campeonato Brasileiro
1961,Palmeiras,Grêmio,Oitavas de final,Campeonato Brasileiro
1962,Botafogo,Internacional,Semifinal,Campeonato Brasileiro
1962,Santos,Botafogo,Final,Campeonato Brasileiro
1963,Santos,Grêmio,Semifinal,Campeonato Brasileiro
1963,Grêmio,Atlético,Quartas de final,Campeonato Brasileiro
1963,Santos,Botafogo,Semifinal,Libertadores
1964,Santos,Palmeiras,Semifinal,Taça Brasil
1964,Santos,Flamengo,Final,Taça Brasil
1964,Santos,Atlético,Quartas de final,Taça Brasil
1965,Palmeiras,Grêmio,Quartas de final,Taça Brasil
1965,Santos,Palmeiras,Semifinal,Taça Brasil
1965,Santos,Vasco,Final,Taça Brasil
1966,Cruzeiro,Santos,Final,Taça Brasil
1966,Cruzeiro,Fluminense,Semifinal,Taça Brasil
1967,Palmeiras,Grêmio,Semifinal,Taça Brasil
1967,Atlético,Botafogo,Oitavas de final,Taça Brasil
1968,Botafogo,Cruzeiro,Semifinal,Taça Brasil
1971,Atlético,Botafogo,Final (triangular),Campeonato Brasileiro
1972,Palmeiras,Internacional,Semifinal,Campeonato Brasileiro
1972,Palmeiras,Botafogo,Final,Campeonato Brasileiro
1972,Botafogo,Corinthians,Semifinal,Campeonato Brasileiro
1973,Botafogo,Palmeiras,Primeira fase,Libertadores
1974,Vasco,Cruzeiro,Final,Campeonato Brasileiro
1975,Internacional,Cruzeiro,Final,Campeonato Brasileiro
1975,Internacional,Fluminense,Semifinal,Campeonato Brasileiro
1976,Internacional,Corinthians,Final,Campeonato Brasileiro
1976,Internacional,Atlético,Semifinal,Campeonato Brasileiro
1976,Corinthians,Fluminense,Semifinal,Campeonato Brasileiro
1977,São Paulo,Atlético,Final,Campeonato Brasileiro
1978,Palmeiras,Internacional,Semifinal,Campeonato Brasileiro
1978,Vasco,Grêmio,Quartas de final,Campeonato Brasileiro
1979,Internacional,Palmeiras,Semifinal,Campeonato Brasileiro
1979,Internacional,Vasco,Final,Campeonato Brasileiro
1980,Atlético,Internacional,Semifinal,Campeonato Brasileiro
1980,Flamengo,Atlético,Final,Campeonato Brasileiro
1981,São Paulo,Santos,Oitavas de final,Campeonato Brasileiro
1981,São Paulo,Internacional,Quartas de final,Campeonato Brasileiro
1981,Grêmio,São Paulo,Final,Campeonato Brasileiro
1981,São Paulo,Botafogo,Semifinal,Campeonato Brasileiro
1981,Internacional,Atlético,Oitavas de final,Campeonato Brasileiro
1981,Flamengo,Atlético,Primeira fase,Libertadores
1981,Vasco,Fluminense,Oitavas de final,Campeonato Brasileiro
1981,Botafogo,Flamengo,Quartas de final,Campeonato Brasileiro
1982,Flamengo,Santos,Quartas de final,Campeonato Brasileiro
1982,Flamengo,Grêmio,Final,Campeonato Brasileiro
1982,Grêmio,Vasco,Oitavas de final,Campeonato Brasileiro
1982,Grêmio,Corinthians,Semifinal,Campeonato Brasileiro
1982,Grêmio,Fluminense,Quartas de final,Campeonato Brasileiro
1983,Flamengo,Santos,Final,Campeonato Brasileiro
1983,Flamengo,Vasco,Quartas de final,Campeonato Brasileiro
1983,Santos,Atlético,Semifinal,Campeonato Brasileiro
1984,Grêmio,Flamengo,Semifinal,Libertadores
1984,Vasco,Grêmio,Semifinal,Campeonato Brasileiro
1984,Corinthians,Flamengo,Quartas de final,Campeonato Brasileiro
1984,Fluminense,Vasco,Final,Campeonato Brasileiro
1984,Fluminense,Corinthians,Semifinal,Campeonato Brasileiro
1986,Corinthians,Grêmio,Oitavas de final,Campeonato Brasileiro
1986,Atlético,Cruzeiro,Quartas de final,Campeonato Brasileiro
1986,São Paulo,Fluminense,Quartas de final,Campeonato Brasileiro
1986,Atlético,Flamengo,Oitavas de final,Campeonato Brasileiro
1987,Internacional,Cruzeiro,Semifinal,Campeonato Brasileiro
1987,Flamengo,Internacional,Final,Copa União
1987,Flamengo,Atlético,Semifinal,Campeonato Brasileiro
1988,Internacional,Cruzeiro,Quartas de final,Campeonato Brasileiro
1988,Internacional,Grêmio,Semifinal,Campeonato Brasileiro
1988,Grêmio,Flamengo,Quartas de final,Campeonato Brasileiro
1988,Fluminense,Vasco,Quartas de final,Campeonato Brasileiro
1989,Grêmio,Flamengo,Semifinal,Copa do Brasil
1989,Flamengo,Corinthians,Quartas de final,Copa do Brasil
1989,Vasco,São Paulo,Final,Campeonato Brasileiro
1990,Grêmio,Palmeiras,Quartas de final,Campeonato Brasileiro
1990,São Paulo,Santos,Quartas de final,Campeonato Brasileiro
1990,São Paulo,Grêmio,Oitavas de final,Copa do Brasil
1990,São Paulo,Grêmio,Semifinal,Campeonato Brasileiro
1990,Grêmio,Vasco,Final,Supercopa do Brasil
1990,Corinthians,São Paulo,Final,Campeonato Brasileiro
1990,Corinthians,Atlético,Quartas de final,Campeonato Brasileiro
1991,Corinthians,Cruzeiro,Oitavas de final,Copa do Brasil
1991,Corinthians,Flamengo,Final,Supercopa do Brasil
1991,Grêmio,Corinthians,Quartas de final,Copa do Brasil
1991,São Paulo,Atlético,Semifinal,Campeonato Brasileiro
1992,Internacional,Palmeiras,Semifinal,Copa do Brasil
1992,São Paulo,Santos,Oitavas de final,Supercopa
1992,Internacional,Corinthians,Oitavas de final,Copa do Brasil
1992,Internacional,Grêmio,Quartas de final,Copa do Brasil
1992,Flamengo,Grêmio,Oitavas de final,Supercopa
1992,Atlético,Fluminense,Oitavas de final,Copa Conmebol
1992,Internacional,Fluminense,Final,Copa do Brasil
1992,Flamengo,Botafogo,Final,Campeonato Brasileiro
1993,Palmeiras,Corinthians,Final,Rio-São Paulo
1993,Grêmio,Palmeiras,Quartas de final,Copa do Brasil
1993,São Paulo,Grêmio,Quartas de final,Supercopa
1993,Grêmio,Flamengo,Semifinal,Copa do Brasil
1993,Cruzeiro,Vasco,Semifinal,Copa do Brasil
1993,São Paulo,Cruzeiro,Final,Recopa Sul-Americana
1993,Cruzeiro,São Paulo,Quartas de final,Copa do Brasil
1993,São Paulo,Flamengo,Quartas de final,Libertadores
1993,São Paulo,Flamengo,Final,Supercopa
1993,Atlético,Cruzeiro,Semifinal,Copa Ouro
1993,Botafogo,Atlético,Semifinal,Copa Conmebol
1993,Atlético,Fluminense,Oitavas de final,Copa Conmebol
1994,Palmeiras,Corinthians,Final,Campeonato Brasileiro
1994,São Paulo,Palmeiras,Oitavas de final,Libertadores
1994,São Paulo,Grêmio,Oitavas de final,Conmebol
1994,Grêmio,Vasco,Semifinal,Copa do Brasil
1994,São Paulo,Corinthians,Semifinal,Copa Conmebol
1994,Grêmio,Corinthians,Oitavas de final,Copa do Brasil
1994,São Paulo,Botafogo,Final,Recopa Sul-Americana
1994,Atlético,Botafogo,Quartas de final,Campeonato Brasileiro
1994,Vasco,Atlético,Quartas de final,Copa do Brasil
1994,Corinthians,Atlético,Semifinal,Campeonato Brasileiro
1995,Grêmio,Palmeiras,Oitavas de final,Copa do Brasil
1995,Grêmio,Palmeiras,Quartas de final,Libertadores
1995,Grêmio,São Paulo,Quartas de final,Copa do Brasil
1995,Grêmio,Flamengo,Semifinal,Copa do Brasil
1995,Corinthians,Vasco,Semifinal,Copa do Brasil
1995,Corinthians,Grêmio,Final,Copa do Brasil
1995,Flamengo,Cruzeiro,Quartas de final,Copa do Brasil
1995,Flamengo,Cruzeiro,Semifinal,Supercopa
1995,Cruzeiro,São Paulo,Final,Copa Ouro
1995,Botafogo,Cruzeiro,Semifinal,Campeonato Brasileiro
1995,Vasco,Atlético,Quartas de final,Copa do Brasil
1995,Botafogo,Santos,Final,Campeonato Brasileiro
1995,Santos,Fluminense,Semifinal,Campeonato Brasileiro
1996,Cruzeiro,Palmeiras,Final,Copa do Brasil
1996,Palmeiras,Grêmio,Semifinal,Copa do Brasil
1996,Grêmio,Palmeiras,Quartas de final,Campeonato Brasileiro
1996,Internacional,São Paulo,Oitavas de final,Copa do Brasil
1996,Flamengo,Internacional,Quartas de final,Copa do Brasil
1996,São Paulo,Grêmio,Semifinal,Copa Ouro
1996,Cruzeiro,Corinthians,Quartas de final,Copa do Brasil
1996,Grêmio,Corinthians,Quartas de final,Libertadores
1996,Cruzeiro,Vasco,Oitavas de final,Copa do Brasil
1996,Cruzeiro,Flamengo,Semifinal,Copa do Brasil
1996,Flamengo,São Paulo,Final,Copa Ouro
1996,São Paulo,Atlético,Final,Copa Master Conmebol
1996,São Paulo,Botafogo,Semifinal,Copa Master Conmebol
1996,Grêmio,Botafogo,Oitavas de final,Libertadores
1996,Palmeiras,Atlético,Oitavas de final,Copa do Brasil
1997,Vasco,Palmeiras,Final,Campeonato Brasileiro
1997,Flamengo,Palmeiras,Semifinal,Copa do Brasil
1997,Santos,Palmeiras,Semifinal,Rio-São Paulo
1997,Santos,Flamengo,Final,Rio-São Paulo
1997,Santos,Vasco,Quartas de final,Rio-São Paulo
1997,Internacional,Santos,Oitavas de final,Copa do Brasil
1997,Flamengo,Internacional,Quartas de final,Copa do Brasil
1997,Grêmio,Flamengo,Final,Copa do Brasil
1997,Flamengo,Corinthians,Quartas de final,Rio-São Paulo
1997,Grêmio,Corinthians,Semifinal,Copa do Brasil
1997,Flamengo,São Paulo,Semifinal,Rio-São Paulo
1997,São Paulo,Fluminense,Quartas de final,Rio-São Paulo
1997,Palmeiras,Botafogo,Quartas de final,Rio-São Paulo
1997,Corinthians,Atlético,Oitavas de final,Copa do Brasil
1998,Palmeiras,Cruzeiro,Final,Mercosul
1998,Palmeiras,Cruzeiro,Final,Copa do Brasil
1998,Cruzeiro,Palmeiras,Quartas de final,Campeonato Brasileiro
1998,São Paulo,Palmeiras,Semifinal,Rio-São Paulo
1998,Palmeiras,Santos,Semifinal,Copa do Brasil
1998,Corinthians,Santos,Semifinal,Campeonato Brasileiro
