"id_jogo","rodada","data","time_mandante","gols_mandante","gols_visitante","time_visitante","detalhes","pontos_mandante","pontos_visitante"
1,1,2003-03-29,"Guarani",4,2,"Vasco da Gama","Juninho 10', Creedence 12', 90+1'p, Wagner 56'; Marcelinho Carioca 16', Cadu 22'",3,0
2,1,2003-03-29,"Atlético-PR",2,0,"Grêmio","Roger 10'og, Ilan 11'",3,0
3,1,2003-03-30,"Goiás",2,2,"Paysandu","Dimba 35', Leandro Smith 78'; Jorginho 52', Wélber 57'",1,1
4,1,2003-03-30,"Corinthians",0,3,"Atlético-MG","Alexandre 17', Guilherme 23', Alessandro 47'",0,3
5,1,2003-03-30,"Flamengo",1,1,"Coritiba","André Bahia 90+1'; Aparecido Lima 73'",1,1
6,1,2003-03-30,"Criciúma",2,0,"Fluminense","Tico 8', Dejair 15'",3,0
7,1,2003-03-30,"Juventude",2,2,"São Paulo","Hugo 36', Geufer 89'; Luís Fabiano 53', Júlio Baptista 60'",1,1
8,1,2003-03-30,"Fortaleza",0,0,"Bahia","",1,1
9,1,2003-03-30,"Vitória",1,1,"Figueirense","Nádson 84'; Renato Santiago 18'",1,1
10,1,2003-03-30,"Cruzeiro",2,2,"São Caetano","Alex 37', 46'; Luís Carlos Capixaba 50', 89'",1,1
11,1,2003-03-30,"Internacional",1,1,"Ponte Preta","Diego Barcellos 86'; Jean Carlos 15'",1,1
12,1,2003-03-30,"Santos",2,2,"Paraná","Robinho 35', Nenê 75'; Renaldo 13', Marquinhos 28'",1,1
13,2,2003-04-05,"Fluminense",1,1,"Fortaleza","Rodolfo Bispo 60'; Fernandão 44'",1,1
14,2,2003-04-05,"Atlético-MG",0,0,"Santos","",1,1
15,2,2003-04-05,"Grêmio",3,1,"Guarani","Ânderson Lima 14', Christian Corrêa 70', Emerson 85'; Esquerdinha 62'",3,0
16,2,2003-04-05,"Coritiba",0,1,"Internacional","Flávio Luiz 75'",0,3
17,2,2003-04-06,"Bahia",1,2,"Flamengo","Fabinho 73'og; Felipe Loureiro 12'p, Fernando Baiano 89'",0,3
18,2,2003-04-06,"Vasco da Gama",6,4,"Goiás","Rodrigo Souza 4', Marcelinho Carioca 32', 90+3', Wecsley 63', Cadi 71', Anderson Costa 75'; Araújo 30', Dimba 47', 88'p, Fabão 51'",3,0
19,2,2003-04-06,"Figueirense",3,3,"Corinthians","Fanilo 8', 59'p, Evair 80'; Fábio Luciano 61', Liédson 67', César Belli 90+3'",1,1
20,2,2003-04-06,"São Paulo",2,4,"Cruzeiro","Luís Fabiano 48', 62'p; Alex 10', Deivid 14', 53'p, 68'p",0,3
21,2,2003-04-06,"Paysandu",1,2,"Vitória","Wélber 7'; Adaílton 6', Zé Roberto 65'",0,3
22,2,2003-04-06,"Ponte Preta",1,0,"Juventude","Sérgio Alves 19'",3,0
23,2,2003-04-06,"Paraná",3,0,"Atlético-PR","Fernandinho 10', Renaldo 23', Marquinhos 51'",3,0
24,2,2003-04-06,"São Caetano",3,2,"Criciúma","Denni 61', Serginho 71', Marcinho 85'; Delmer 24', Guilherme Weisheimer 74'",3,0
25,3,2003-04-12,"Corinthians",6,1,"Paysandu","Fábio Luciano 19', 21', Liédson 22', Leandro Azevedo 31', Fabinho 40', Carlos Renato 87'; Robgol 55'",3,0
26,3,2003-04-12,"Internacional",2,0,"Bahia","Wilson 3', Nilmar 75'",3,0
27,3,2003-04-12,"Atlético-PR",1,2,"Atlético-MG","Ilan 73'; Alexandre 69', Alessandro 85'",0,3
28,3,2003-04-12,"Santos",2,0,"Figueirense","Elano 33', Ricardo Oliveira 81'",3,0
29,3,2003-04-13,"Cruzeiro",3,0,"Ponte Preta","Deivid 48', 90+1', Aristizábal 59'",3,0
30,3,2003-04-13,"Vitória",2,1,"Vasco da Gama","Adaílton 17', Samir 80'; Marcelinho Carioca 12'",3,0
31,3,2003-04-13,"Flamengo",4,1,"Fluminense","Zé Carlos 5', 11', Fábio Baiano 46', Fernando Baiano 63'; Carlos Alberto Jesus 32'",3,0
32,3,2003-04-13,"Criciúma",1,1,"São Paulo","Luciano Almeida 40'; Luís Fabiano 6'",1,1
33,3,2003-04-13,"Fortaleza",1,1,"São Caetano","Dude 29'; Zé Carlos 23'",1,1
34,3,2003-04-13,"Juventude",2,1,"Coritiba","Michel 68', Gustavo Martins 69'; Tcheco 90+3'p",3,0
35,3,2003-04-13,"Guarani",2,0,"Paraná","Alex Meschini 25', Wagner 88'",3,0
36,3,2003-04-13,"Goiás",1,1,"Grêmio","Fabão 8'; Roberto 25'",1,1
37,4,2003-04-09,"Paysandu",2,1,"Santos","Wélber 46', 76'; Robinho 38'",3,0
38,4,2003-04-16,"São Caetano",1,1,"Flamengo","Zé Carlos 39'; Fernando Diniz 62'",1,1
39,4,2003-04-16,"Vasco da Gama",2,2,"Corinthians","Rodrigo Souza 1', Marcelinho Carioca 14'p; Rogério Régis 44'p, Kléber 61'",1,1
40,4,2003-04-16,"Bahia",3,1,"Juventude","Jair 42', Lino 66', Pretto 82'; Geufer 29'",3,0
41,4,2003-04-16,"Grêmio",2,1,"Vitória","Gilberto 72', Aderaldo 85'og; Nádson 70'",3,0
42,4,2003-04-16,"Coritiba",3,4,"Cruzeiro","Aparecido Lima 16', Marco Brito 57'p, Alexandre Fávaro 79'; Aristizábal 6', 31', 85', Deivid 56'",0,3
43,4,2003-04-16,"Atlético-MG",3,2,"Guarani","Lúcio Flávio 12', Scheidt 57', Guilherme 89'; Creedence 60', 90+2'",3,0
44,4,2003-04-16,"Figueirense",1,1,"Atlético-PR","Luiz Fernando Acuña 73'; Dagoberto 41'",1,1
45,4,2003-04-16,"Ponte Preta",1,1,"Criciúma","Luís Carlos 90+1'; Cametá 66'",1,1
46,4,2003-04-17,"Fluminense",3,1,"Internacional","Sorato 3', 26', Lopes 87'; André Neles 45'p",3,0
47,4,2003-04-17,"Paraná",3,1,"Goiás","Renaldo 17', Caio 23', Flávio Guilherme 80'; Fabão 65'",3,0
48,4,2003-04-17,"São Paulo",3,1,"Fortaleza","Ricardinho 4', Reinaldo Oliveira 9', Gabriel 88'; Chiquinho 15'",3,0
49,5,2003-04-19,"Flamengo",0,2,"Santos","Léo 18', Elano 60'",0,3
50,5,2003-04-19,"Bahia",2,4,"Atlético-MG","Jair 16', Nonato 48'; Guilherme 19', 27', Alexandre 35', André Luís Nascimento 61'",0,3
51,5,2003-04-19,"São Caetano",1,1,"Grêmio","Marcinho 17'; Christian Corrêa 33'",1,1
52,5,2003-04-20,"São Paulo",3,1,"Vasco da Gama","Luís Fabiano 29', Willamis Souza 39', Rogério Ceni 87'; Marcelinho Carioca 55'",3,0
53,5,2003-04-20,"Fluminense",0,0,"Paraná","",1,1
54,5,2003-04-20,"Cruzeiro",4,1,"Goiás","Alex 20', 88', Deivid 41', 90'; Dimba 66'",3,0
55,5,2003-04-20,"Internacional",2,1,"Corinthians","André Neles 42', 79'; Gil 12'",3,0
56,5,2003-04-20,"Ponte Preta",4,4,"Paysandu","Gabriel Nascimento 9', Sérgio Alves 37', 66', 74'; Robgol 7', Wélber 32', 77', Jorginho 81'",1,1
57,5,2003-04-20,"Fortaleza",1,0,"Atlético-PR","Chiquinho 28'",3,0
58,5,2003-04-20,"Juventude",1,1,"Vitória","Michel 84'; Nádson 82'",1,1
59,5,2003-04-20,"Criciúma",1,0,"Guarani","Tico 52'",3,0
60,5,2003-04-21,"Coritiba",1,0,"Figueirense","Marco Brito 58'",3,0
61,6,2003-04-26,"Paraná",3,1,"Bahia","Emerson 35', Marquinhos 59', Caio 61'; Pretto 34'",3,0
62,6,2003-04-26,"Guarani",1,1,"Cruzeiro","Wagner 66'; Deivid 87'p",1,1
